====================================================================================================================================
      Date     Time  Temp SpCond   Cond  Resist   TDS    Sal   Press   Depth    pH      pH   Chl   Chl Turbid+ ODOsat    ODO Battery
     y/m/d hh:mm:ss     C  uS/cm  uS/cm  Ohm*cm   g/L    ppt    psir  meters            mV  ug/L   RFU     NTU      %   mg/L   volts
------------------------------------------------------------------------------------------------------------------------------------
2019/12/20 13:49:14 12.11  42416  31972 31.2772 27.57  27.21   3.442   2.376  7.83   -66.7   0.9   0.2     7.8   92.1   8.35    12.9
2019/12/20 13:55:14 12.19  43291  32698 30.5827 28.14  27.84   3.463   2.389  7.83   -66.3   0.8   0.2     6.8   92.6   8.35    12.8
2019/12/20 14:01:13 12.22  43928  33208 30.1132 28.55  28.29   3.488   2.406  7.83   -66.2   1.7   0.4     7.2   92.6   8.31    12.8
2019/12/20 14:07:14 12.28  44794  33915 29.4854 29.12  28.91   3.508   2.418  7.83   -66.6   1.5   0.4     9.1   92.7   8.28    12.8
2019/12/20 14:13:14 12.29  44838  33952 29.4532 29.14  28.95   3.537   2.439  7.83   -66.7   2.5   0.6     7.5   92.5   8.26    12.8
2019/12/20 14:19:13 12.19  43498  32857 30.4345 28.27  27.99   3.553   2.451  7.83   -66.4   2.3   0.5    11.2   92.5   8.33    12.8
2019/12/20 14:25:13 12.22  43921  33202 30.1185 28.55  28.29   3.577   2.467  7.83   -66.4   1.4   0.3     9.8   92.6   8.31    12.9
2019/12/20 14:31:13 12.26  44366  33571 29.7874 28.84  28.61   3.584   2.471  7.83   -66.3   1.7   0.4     7.8   92.5   8.28    12.7
2019/12/20 14:37:14 12.28  44678  33824 29.5646 29.04  28.83   3.576   2.465  7.83   -66.6   1.8   0.4     8.4   92.4   8.26    12.8
2019/12/20 14:43:14 12.33  45347  34369 29.0959 29.48  29.31   3.584   2.470  7.84   -67.0   1.6   0.4    12.4   92.8   8.26    12.7
2019/12/20 14:49:14 12.34  45535  34521 28.9683 29.60  29.45   3.591   2.475  7.84   -67.2   2.1   0.5    16.1   93.1   8.28    12.8
2019/12/20 14:55:14 12.36  45903  34818 28.7205 29.84  29.71   3.564   2.456  7.85   -67.4   1.7   0.4    13.4   93.3   8.28    12.8
2019/12/20 15:01:13 12.37  46127  35004 28.5682 29.98  29.87   3.585   2.470  7.85   -67.7   1.3   0.3    13.1   93.3   8.27    12.8
2019/12/20 15:07:14 12.38  46265  35116 28.4769 30.07  29.97   3.589   2.472  7.85   -67.7   1.3   0.3    10.2   93.3   8.26    12.7
2019/12/20 15:13:14 12.40  46545  35347 28.2912 30.25  30.17   3.593   2.474  7.86   -68.0   1.8   0.4     9.9   93.3   8.25    12.8
2019/12/20 15:19:14 12.41  46604  35396 28.2522 30.29  30.22   3.568   2.457  7.86   -68.1   1.3   0.3    11.3   93.5   8.26    12.8
2019/12/20 15:25:14 12.40  46543  35345 28.2928 30.25  30.17   3.583   2.468  7.86   -68.0   1.7   0.4     6.2   93.2   8.24    12.8
2019/12/20 15:31:14 12.41  46591  35384 28.2615 30.28  30.21   3.575   2.462  7.86   -68.0   1.8   0.4    10.4   93.5   8.26    12.8
2019/12/20 15:37:14 12.42  46740  35508 28.1628 30.38  30.31   3.588   2.471  7.86   -68.1   2.2   0.5     9.5   93.5   8.25    12.7
