============================================================================================================================
      Date     Time  Temp SpCond   Cond  Resist   TDS    Sal   Depth    pH      pH   Chl   Chl Turbid+ ODOsat    ODO Battery
     y/m/d hh:mm:ss     C  uS/cm  uS/cm  Ohm*cm   g/L    ppt  meters            mV  ug/L   RFU     NTU      %   mg/L   volts
----------------------------------------------------------------------------------------------------------------------------
2019/11/21 08:43:13 13.86  41825  32925 30.3722 27.19  26.85   1.459  7.77   -63.0   0.4   0.1    10.1   89.6   7.85    12.4
2019/11/21 08:49:14 13.89  41055  32341 30.9207 26.69  26.30   1.453  7.77   -62.9  -0.5  -0.1     8.8   89.8   7.88    12.4
2019/11/21 08:55:13 13.91  40771  32132 31.1218 26.50  26.10   1.450  7.77   -62.8   0.4   0.1     8.0   89.8   7.90    12.4
2019/11/21 09:01:13 13.90  40774  32133 31.1208 26.50  26.10   1.448  7.76   -62.7  -0.2   0.0     8.1   89.8   7.89    12.4
2019/11/21 09:07:13 13.90  40344  31789 31.4574 26.22  25.80   1.446  7.77   -62.8   0.8   0.2     7.5   90.1   7.94    12.4
2019/11/21 09:13:13 13.91  40275  31748 31.4985 26.18  25.75   1.444  7.76   -62.7   0.0   0.0     8.3   90.0   7.93    12.4
2019/11/21 09:19:13 13.91  40043  31564 31.6812 26.03  25.58   1.443  7.76   -62.7  -0.4  -0.1     7.9   90.1   7.94    12.4
2019/11/21 09:25:13 13.93  39936  31489 31.7574 25.96  25.51   1.442  7.76   -62.7   0.2   0.0     7.8   90.1   7.94    12.5
2019/11/21 09:31:13 13.92  39839  31410 31.8373 25.90  25.44   1.443  7.76   -62.7  -0.4  -0.1     7.0   90.1   7.95    12.3
2019/11/21 09:37:13 13.94  40033  31576 31.6699 26.02  25.58   1.442  7.76   -62.6   0.1   0.0     7.7   90.0   7.93    12.4
2019/11/21 09:43:13 13.95  40019  31572 31.6739 26.01  25.57   1.444  7.76   -62.5   0.1   0.0     7.9   89.8   7.91    12.3
2019/11/21 09:49:13 13.96  39894  31481 31.7652 25.93  25.48   1.445  7.76   -62.5  -0.1   0.0     7.4   89.8   7.92    12.5
2019/11/21 09:55:13 13.97  39661  31303 31.9456 25.78  25.32   1.446  7.76   -62.4  -0.3  -0.1     7.0   89.8   7.92    12.5
2019/11/21 10:01:13 13.97  39454  31145 32.1084 25.65  25.17   1.449  7.76   -62.4  -0.1   0.0     8.0   89.8   7.93    12.5
2019/11/21 10:07:13 13.98  39345  31062 32.1937 25.57  25.09   1.452  7.76   -62.3   0.2   0.0     6.7   89.6   7.91    12.4
2019/11/21 10:13:13 13.98  39245  30984 32.2748 25.51  25.02   1.456  7.75   -62.2  -0.4  -0.1     6.6   89.6   7.91    12.5
2019/11/21 10:19:13 13.98  39166  30925 32.3365 25.46  24.97   1.462  7.75   -62.0  -0.5  -0.1     7.9   89.5   7.91    12.4
2019/11/21 10:25:13 13.98  39142  30905 32.3574 25.44  24.95   1.468  7.75   -62.0   0.0   0.0     6.4   89.4   7.90    12.4
2019/11/21 10:31:13 13.99  39148  30912 32.3498 25.45  24.96   1.473  7.75   -62.0   0.1   0.0     6.8   89.3   7.89    12.5
2019/11/21 10:37:13 13.98  39161  30922 32.3396 25.45  24.96   1.480  7.75   -61.9  -0.2   0.0     6.7   89.2   7.88    12.4
2019/11/21 10:43:13 13.98  39184  30940 32.3202 25.47  24.98   1.485  7.75   -61.9   0.0   0.0     7.1   89.1   7.87    12.4
2019/11/21 10:49:13 13.98  39184  30938 32.3222 25.47  24.98   1.492  7.75   -62.0  -0.8  -0.2     6.5   89.4   7.90    12.4
2019/11/21 10:55:14 13.98  39183  30935 32.3263 25.47  24.98   1.499  7.75   -62.0  -0.2   0.0     6.7   89.4   7.90    12.5
2019/11/21 11:01:14 13.98  39213  30962 32.2977 25.49  25.00   1.505  7.75   -62.0  -0.5  -0.1     6.7   89.4   7.89    12.5
2019/11/21 11:07:13 13.98  39254  30993 32.2657 25.52  25.03   1.510  7.75   -62.0   0.4   0.1     7.5   89.3   7.88    12.4
2019/11/21 11:13:13 13.97  39268  30997 32.2616 25.52  25.04   1.518  7.75   -62.0  -0.3  -0.1     7.8   89.2   7.88    12.5
