,317,,,,2.1000,,,,,,,276.7,,,0.0200,,,20.0,,,,,,,0.2,,,,,,,
,320,,,,2.1200,,,,,,,276.9,,,0.0200,,,20.0,,,,,,,0.2,,,,,,,
,323,,,,2.1400,,,,,,,277.1,,,0.0200,,,20.0,,,,,,,0.2,,,,,,,
,326,,,,2.1600,,,,,,,277.3,,,0.0200,,,20.0,,,,,,,0.2,,,,,,,
,329,,,,2.1800,,,,,,,277.4,,,0.0200,,,20.0,,,,,,,0.1,,,,,,,
,332,,,,2.2000,,,,,,,277.6,,,0.0200,,,20.0,,,,,,,0.2,,,,,,,
,335,,,,2.2200,,,,,,,277.8,,,0.0200,,,20.0,,,,,,,0.2,,,,,,,
,338,,,,2.2400,,,,,,,278.0,,,0.0200,,,20.0,,,,,,,0.2,,,,,,,
,341,,,,2.2600,,,,,,,278.2,,,0.0200,,,20.0,,,,,,,0.2,,,,,,,
,344,,,,2.2800,,,,,,,278.4,,,0.0200,,,20.0,,,,,,,0.2,,,,,,,
,347,,,,2.3000,,,,,,,278.5,,,0.0200,,,20.0,,,,,,,0.1,,,,,,,
,350,,,,2.3200,,,,,,,278.7,,,0.0200,,,20.0,,,,,,,0.2,,,,,,,
,353,,,,2.3400,,,,,,,278.8,,,0.0200,,,20.0,,,,,,,0.1,,,,,,,
,356,,,,2.3600,,,,,,,279.0,,,0.0200,,,20.0,,,,,,,0.2,,,,,,,
,359,,,,2.3800,,,,,,,279.2,,,0.0200,,,20.0,,,,,,,0.2,,,,,,,
,362,,,,2.4000,,,,,,,279.3,,,0.0200,,,20.0,,,,,,,0.1,,,,,,,
,365,,,,2.4200,,,,,,,279.5,,,0.0200,,,20.0,,,,,,,0.2,,,,,,,
,368,,,,2.4400,,,,,,,279.7,,,0.0200,,,20.0,,,,,,,0.2,,,,,,,
,371,,,,2.4600,,,,,,,279.9,,,0.0200,,,20.0,,,,,,,0.2,,,,,,,
,374,,,,2.4800,,,,,,,280.0,,,0.0200,,,20.0,,,,,,,0.1,,,,,,,
,377,,,,2.5000,,,,,,,280.2,,,0.0200,,,20.0,,,,,,,0.2,,,,,,,
,380,,,,2.5200,,,,,,,280.4,,,0.0200,,,20.0,,,,,,,0.2,,,,,,,
,383,,,,2.5400,,,,,,,280.5,,,0.0200,,,20.0,,,,,,,0.1,,,,,,,
,386,,,,2.5600,,,,,,,280.6,,,0.0200,,,20.0,,,,,,,0.1,,,,,,,
,389,,,,2.5800,,,,,,,280.8,,,0.0200,,,20.0,,,,,,,0.2,,,,,,,
,392,,,,2.6000,,,,,,,280.9,,,0.0200,,,20.0,,,,,,,0.1,,,,,,,
,395,,,,2.6200,,,,,,,281.1,,,0.0200,,,20.0,,,,,,,0.2,,,,,,,
,398,,,,2.6400,,,,,,,281.3,,,0.0200,,,20.0,,,,,,,0.2,,,,,,,
,401,,,,2.6600,,,,,,,281.4,,,0.0200,,,20.0,,,,,,,0.1,,,,,,,
,404,,,,2.6800,,,,,,,281.6,,,0.0200,,,20.0,,,,,,,0.2,,,,,,,
,408,,,,2.7000,,,,,,,281.7,,,0.0200,,,20.0,,,,,,,0.1,,,,,,,
,411,,,,2.7200,,,,,,,281.9,,,0.0200,,,20.0,,,,,,,0.2,,,,,,,
,414,,,,2.7400,,,,,,,282.0,,,0.0200,,,20.0,,,,,,,0.1,,,,,,,
,417,,,,2.7600,,,,,,,282.2,,,0.0200,,,20.0,,,,,,,0.2,,,,,,,
,420,,,,2.7800,,,,,,,282.3,,,0.0200,,,20.0,,,,,,,0.1,,,,,,,
,423,,,,2.8000,,,,,,,282.4,,,0.0200,,,20.0,,,,,,,0.1,,,,,,,
,426,,,,2.8200,,,,,,,282.6,,,0.0200,,,20.0,,,,,,,0.2,,,,,,,
,429,,,,2.8400,,,,,,,282.7,,,0.0200,,,20.0,,,,,,,0.1,,,,,,,
,432,,,,2.8600,,,,,,,282.8,,,0.0200,,,20.0,,,,,,,0.1,,,,,,,
,435,,,,2.8800,,,,,,,283.0,,,0.0200,,,20.0,,,,,,,0.2,,,,,,,
,438,,,,2.9000,,,,,,,283.1,,,0.0200,,,20.0,,,,,,,0.1,,,,,,,
,441,,,,2.9200,,,,,,,283.2,,,0.0200,,,20.0,,,,,,,0.1,,,,,,,
,444,,,,2.9400,,,,,,,283.3,,,0.0200,,,20.0,,,,,,,0.1,,,,,,,
,447,,,,2.9600,,,,,,,283.5,,,0.0200,,,20.0,,,,,,,0.2,,,,,,,
,450,,,,2.9800,,,,,,,283.6,,,0.0200,,,20.0,,,,,,,0.1,,,,,,,
,453,,,,3.0000,,,,,,,283.8,,,0.0200,,,20.0,,,,,,,0.2,,,,,,,
,456,,,,3.0200,,,,,,,283.9,,,0.0200,,,20.0,,,,,,,0.1,,,,,,,
,459,,,,3.0400,,,,,,,284.0,,,0.0200,,,20.0,,,,,,,0.1,,,,,,,
,462,,,,3.0600,,,,,,,284.2,,,0.0200,,,20.0,,,,,,,0.2,,,,,,,
,465,,,,3.0800,,,,,,,284.4,,,0.0200,,,20.0,,,,,,,0.2,,,,,,,
,468,,,,3.1000,,,,,,,284.5,,,0.0200,,,20.0,,,,,,,0.1,,,,,,,
,471,,,,3.1200,,,,,,,284.6,,,0.0200,,,20.0,,,,,,,0.1,,,,,,,
,474,,,,3.1400,,,,,,,284.7,,,0.0200,,,20.0,,,,,,,0.1,,,,,,,
,477,,,,3.1600,,,,,,,284.8,,,0.0200,,,20.0,,,,,,,0.1,,,,,,,
,480,,,,3.1800,,,,,,,285.0,,,0.0200,,,20.0,,,,,,,0.2,,,,,,,
,483,,,,3.2000,,,,,,,285.1,,,0.0200,,,20.0,,,,,,,0.1,,,,,,,
,486,,,,3.2200,,,,,,,285.2,,,0.0200,,,20.0,,,,,,,0.1,,,,,,,
,489,,,,3.2400,,,,,,,285.3,,,0.0200,,,20.0,,,,,,,0.1,,,,,,,
,492,,,,3.2600,,,,,,,285.5,,,0.0200,,,20.0,,,,,,,0.2,,,,,,,
,495,,,,3.2800,,,,,,,285.6,,,0.0200,,,20.0,,,,,,,0.1,,,,,,,
,498,,,,3.3000,,,,,,,285.8,,,0.0200,,,20.0,,,,,,,0.2,,,,,,,
,501,,,,3.3200,,,,,,,285.9,,,0.0200,,,20.0,,,,,,,0.1,,,,,,,
,504,,,,3.3400,,,,,,,286.0,,,0.0200,,,20.0,,,,,,,0.1,,,,,,,
,507,,,,3.3600,,,,,,,286.1,,,0.0200,,,20.0,,,,,,,0.1,,,,,,,
,510,,,,3.3800,,,,,,,286.2,,,0.0200,,,20.1,,,,,,,0.1,,,,,,,
,513,,,,3.4000,,,,,,,286.3,,,0.0200,,,20.1,,,,,,,0.1,,,,,,,
,516,,,,3.4200,,,,,,,286.5,,,0.0200,,,20.1,,,,,,,0.2,,,,,,,
,519,,,,3.4400,,,,,,,286.6,,,0.0200,,,20.1,,,,,,,0.1,,,,,,,
,522,,,,3.4600,,,,,,,286.7,,,0.0200,,,20.1,,,,,,,0.1,,,,,,,
,525,,,,3.4800,,,,,,,286.8,,,0.0200,,,20.1,,,,,,,0.1,,,,,,,
,528,,,,3.5000,,,,,,,286.9,,,0.0200,,,20.1,,,,,,,0.1,,,,,,,
,531,,,,3.5200,,,,,,,287.0,,,0.0200,,,20.1,,,,,,,0.1,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Measure (normal) [1],,,,,,,,,,,"Scope 1/1, Sample 8/13",,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Measured Values,,,,,,,"Scope 1/1, Sample 8/13",,,,,,,,,,,,,,,,,,,,,,,,,
,Time,,,,,,,,Meas. value,,,,,,,Temp.,,,,,dE,,,,,,,,,,,
,[s],,,,,,,,[mV],,,,,,,[°C],,,,,[mV],,,,,,,,,,,
,1,,,,,,,,-38.3,,,,,,,19.6,,,,,,,,,,,,,,,,
,2,,,,,,,,-38.3,,,,,,,19.6,,,,,0.0,,,,,,,,,,,
,3,,,,,,,,-38.3,,,,,,,19.6,,,,,0.0,,,,,,,,,,,
,4,,,,,,,,-38.4,,,,,,,19.6,,,,,-0.1,,,,,,,,,,,
,5,,,,,,,,-38.4,,,,,,,19.6,,,,,0.0,,,,,,,,,,,
,6,,,,,,,,-38.4,,,,,,,19.6,,,,,0.0,,,,,,,,,,,
,7,,,,,,,,-38.4,,,,,,,19.6,,,,,0.0,,,,,,,,,,,
,8,,,,,,,,-38.4,,,,,,,19.6,,,,,0.0,,,,,,,,,,,
,9,,,,,,,,-38.4,,,,,,,19.6,,,,,0.0,,,,,,,,,,,
,10,,,,,,,,-38.4,,,,,,,19.6,,,,,0.0,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Titration (EP) [1],,,,,,,,,,,"Scope 1/1, Sample 8/13",,,,,,,,,,,,,,,,,,,,,
E - V Curve,,,,,,"Scope 1/1, Sample 8/13",,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,E [mV],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Measured Values,,,,,,,"Scope 1/1, Sample 8/13",,,,,,,,,,,,,,,,,,,,,,,,,
,Time,,,V,,,,,,Meas. value,,,dV,,,,Temp.,,,dE,,,,,,,EP,,,,,
,[s],,,[mL],,,,,,[mV],,,[mL],,,,[°C],,,[mV],,,,,,,,,,,,
,0,,,0.0000,,,,,,-38.5,,,,,,,19.6,,,,,,,,,,,,,,,
,1,,,0.0010,,,,,,-38.5,,,0.0010,,,,19.6,,,0.0,,,,,,,,,,,,
,2,,,0.0050,,,,,,-38.5,,,0.0040,,,,19.6,,,0.0,,,,,,,,,,,,
,3,,,0.0110,,,,,,-38.3,,,0.0060,,,,19.6,,,0.2,,,,,,,,,,,,
,4,,,0.0195,,,,,,-38.0,,,0.0085,,,,19.6,,,0.3,,,,,,,,,,,,
,5,,,0.0335,,,,,,-37.1,,,0.0140,,,,19.6,,,0.9,,,,,,,,,,,,
,6,,,0.0535,,,,,,-35.4,,,0.0200,,,,19.6,,,1.7,,,,,,,,,,,,
,7,,,0.0775,,,,,,-33.0,,,0.0240,,,,19.6,,,2.4,,,,,,,,,,,,
,8,,,0.1115,,,,,,-29.2,,,0.0340,,,,19.6,,,3.8,,,,,,,,,,,,
,9,,,0.1530,,,,,,-24.3,,,0.0415,,,,19.6,,,4.9,,,,,,,,,,,,
,10,,,0.2040,,,,,,-18.2,,,0.0510,,,,19.6,,,6.1,,,,,,,,,,,,
,11,,,0.2660,,,,,,-12.0,,,0.0620,,,,19.6,,,6.2,,,,,,,,,,,,
,12,,,0.3405,,,,,,-5.9,,,0.0745,,,,19.6,,,6.1,,,,,,,,,,,,
,13,,,0.4170,,,,,,-0.4,,,0.0765,,,,19.6,,,5.5,,,,,,,,,,,,
,14,,,0.5160,,,,,,5.9,,,0.0990,,,,19.6,,,6.3,,,,,,,,,,,,
,15,,,0.6275,,,,,,15.6,,,0.1115,,,,19.6,,,9.7,,,,,,,,,,,,
,16,,,0.7525,,,,,,28.9,,,0.1250,,,,19.6,,,13.3,,,,,,,,,,,,
,17,,,0.8900,,,,,,45.6,,,0.1375,,,,19.6,,,16.7,,,,,,,,,,,,
,18,,,1.0385,,,,,,68.4,,,0.1485,,,,19.7,,,22.8,,,,,,,,,,,,
,19,,,1.1830,,,,,,99.5,,,0.1445,,,,19.7,,,31.1,,,,,,,,,,,,
,20,,,1.3570,,,,,,149.8,,,0.1740,,,,19.7,,,50.3,,,,,,,,,,,,
,21,,,1.3735,,,,,,199.1,,,0.0165,,,,19.7,,,49.3,,,,,,,,,,,,
,22,,,1.3735,,,,,,210.7,,,0.0000,,,,19.7,,,11.6,,,,,,,,,,,,
,23,,,1.3745,,,,,,213.1,,,0.0010,,,,19.7,,,2.4,,,,,,,,,,,,
,24,,,1.3770,,,,,,213.9,,,0.0025,,,,19.7,,,0.8,,,,,,,,,,,,
,25,,,1.3805,,,,,,214.5,,,0.0035,,,,19.7,,,0.6,,,,,,,,,,,,
,26,,,1.3865,,,,,,215.0,,,0.0060,,,,19.7,,,0.5,,,,,,,,,,,,
,27,,,1.3955,,,,,,215.8,,,0.0090,,,,19.7,,,0.8,,,,,,,,,,,,
,28,,,1.4075,,,,,,216.8,,,0.0120,,,,19.7,,,1.0,,,,,,,,,,,,
,29,,,1.4225,,,,,,218.1,,,0.0150,,,,19.7,,,1.3,,,,,,,,,,,,
,30,,,1.4405,,,,,,219.7,,,0.0180,,,,19.7,,,1.6,,,,,,,,,,,,
,31,,,1.4570,,,,,,221.3,,,0.0165,,,,19.7,,,1.6,,,,,,,,,,,,
,32,,,1.4740,,,,,,222.9,,,0.0170,,,,19.7,,,1.6,,,,,,,,,,,,
,33,,,1.4880,,,,,,224.1,,,0.0140,,,,19.7,,,1.2,,,,,,,,,,,,
,34,,,1.5020,,,,,,225.2,,,0.0140,,,,19.7,,,1.1,,,,,,,,,,,,
,35,,,1.5160,,,,,,226.4,,,0.0140,,,,19.7,,,1.2,,,,,,,,,,,,
,36,,,1.5270,,,,,,227.4,,,0.0110,,,,19.7,,,1.0,,,,,,,,,,,,
,37,,,1.5360,,,,,,228.1,,,0.0090,,,,19.7,,,0.7,,,,,,,,,,,,
,38,,,1.5465,,,,,,228.8,,,0.0105,,,,19.7,,,0.7,,,,,,,,,,,,
,39,,,1.5565,,,,,,229.5,,,0.0100,,,,19.7,,,0.7,,,,,,,,,,,,
,40,,,1.5660,,,,,,230.1,,,0.0095,,,,19.7,,,0.6,,,,,,,,,,,,
,41,,,1.5745,,,,,,230.6,,,0.0085,,,,19.7,,,0.5,,,,,,,,,,,,
,42,,,1.5830,,,,,,231.0,,,0.0085,,,,19.7,,,0.4,,,,,,,,,,,,
,43,,,1.5900,,,,,,231.5,,,0.0070,,,,19.7,,,0.5,,,,,,,,,,,,
,44,,,1.5965,,,,,,232.0,,,0.0065,,,,19.7,,,0.5,,,,,,,,,,,,
,45,,,1.6005,,,,,,232.3,,,0.0040,,,,19.7,,,0.3,,,,,,,,,,,,
,46,,,1.6035,,,,,,232.5,,,0.0030,,,,19.7,,,0.2,,,,,,,,,,,,
,47,,,1.6070,,,,,,232.6,,,0.0035,,,,19.7,,,0.1,,,,,,,,,,,,
,48,,,1.6115,,,,,,233.0,,,0.0045,,,,19.7,,,0.4,,,,,,,,,,,,
,49,,,1.6155,,,,,,233.2,,,0.0040,,,,19.7,,,0.2,,,,,,,,,,,,
,50,,,1.6190,,,,,,233.4,,,0.0035,,,,19.7,,,0.2,,,,,,,,,,,,
,51,,,1.6215,,,,,,233.6,,,0.0025,,,,19.7,,,0.2,,,,,,,,,,,,
,52,,,1.6240,,,,,,233.8,,,0.0025,,,,19.7,,,0.2,,,,,,,,,,,,
,53,,,1.6265,,,,,,233.9,,,0.0025,,,,19.7,,,0.1,,,,,,,,,,,,
,54,,,1.6290,,,,,,234.1,,,0.0025,,,,19.7,,,0.2,,,,,,,,,,,,
,55,,,1.6305,,,,,,234.1,,,0.0015,,,,19.7,,,0.0,,,,,,,,,,,,
,56,,,1.6330,,,,,,234.3,,,0.0025,,,,19.7,,,0.2,,,,,,,,,,,,
,57,,,1.6360,,,,,,234.4,,,0.0030,,,,19.7,,,0.1,,,,,,,,,,,,
,58,,,1.6385,,,,,,234.6,,,0.0025,,,,19.7,,,0.2,,,,,,,,,,,,
,59,,,1.6410,,,,,,234.8,,,0.0025,,,,19.7,,,0.2,,,,,,,,,,,,
,60,,,1.6435,,,,,,234.9,,,0.0025,,,,19.7,,,0.1,,,,,,,,,,,,
,61,,,1.6450,,,,,,235.0,,,0.0015,,,,19.7,,,0.1,,,,,,,,,,,,
,62,,,1.6450,,,,,,235.1,,,0.0000,,,,19.7,,,0.1,,,,,,,,,,,,
,63,,,1.6450,,,,,,235.2,,,0.0000,,,,19.7,,,0.1,,,,,,,,,,,,
,64,,,1.6450,,,,,,235.2,,,0.0000,,,,19.7,,,0.0,,,,,,,,,,,,
,,,,1.6450,,,,,,235.0,,,,,,,,,,,,,,,,,EP,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Titration (EQP) [2],,,,,,,,,,,"Scope 1/1, Sample 8/13",,,,,,,,,,,,,,,,,,,,,
E - V Curve,,,,,,"Scope 1/1, Sample 8/13",,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,E [mV],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Measured Values,,,,,,,"Scope 1/1, Sample 8/13",,,,,,,,,,,,,,,,,,,,,,,,,
,Time,,,,V,,,,,,,Meas. value,,,dV,,,Temp.,,,,,,,dE,,,,,,,
,[s],,,,[mL],,,,,,,[mV],,,[mL],,,[°C],,,,,,,[mV],,,,,,,
,0,,,,0.0000,,,,,,,235.8,,,,,,20.0,,,,,,,,,,,,,,
,3,,,,0.0200,,,,,,,236.6,,,0.0200,,,20.0,,,,,,,0.8,,,,,,,
,6,,,,0.0400,,,,,,,237.6,,,0.0200,,,20.0,,,,,,,1.0,,,,,,,
,9,,,,0.0600,,,,,,,238.5,,,0.0200,,,20.0,,,,,,,0.9,,,,,,,
,12,,,,0.0800,,,,,,,239.4,,,0.0200,,,20.0,,,,,,,0.9,,,,,,,
,15,,,,0.1000,,,,,,,240.2,,,0.0200,,,20.0,,,,,,,0.8,,,,,,,
,18,,,,0.1200,,,,,,,241.1,,,0.0200,,,20.0,,,,,,,0.9,,,,,,,
,21,,,,0.1400,,,,,,,241.9,,,0.0200,,,20.0,,,,,,,0.8,,,,,,,
,24,,,,0.1600,,,,,,,242.7,,,0.0200,,,20.0,,,,,,,0.8,,,,,,,
,27,,,,0.1800,,,,,,,243.4,,,0.0200,,,20.0,,,,,,,0.7,,,,,,,
,30,,,,0.2000,,,,,,,244.1,,,0.0200,,,20.0,,,,,,,0.7,,,,,,,
,33,,,,0.2200,,,,,,,244.9,,,0.0200,,,20.0,,,,,,,0.8,,,,,,,
,36,,,,0.2400,,,,,,,245.5,,,0.0200,,,20.0,,,,,,,0.6,,,,,,,
,39,,,,0.2600,,,,,,,246.2,,,0.0200,,,20.0,,,,,,,0.7,,,,,,,
,42,,,,0.2800,,,,,,,246.9,,,0.0200,,,20.0,,,,,,,0.7,,,,,,,
,45,,,,0.3000,,,,,,,247.6,,,0.0200,,,20.0,,,,,,,0.7,,,,,,,
,48,,,,0.3200,,,,,,,248.2,,,0.0200,,,20.0,,,,,,,0.6,,,,,,,
,51,,,,0.3400,,,,,,,248.9,,,0.0200,,,20.0,,,,,,,0.7,,,,,,,
,54,,,,0.3600,,,,,,,249.4,,,0.0200,,,20.0,,,,,,,0.5,,,,,,,
,57,,,,0.3800,,,,,,,249.9,,,0.0200,,,20.0,,,,,,,0.5,,,,,,,
,60,,,,0.4000,,,,,,,250.5,,,0.0200,,,20.0,,,,,,,0.6,,,,,,,
,64,,,,0.4200,,,,,,,251.1,,,0.0200,,,20.0,,,,,,,0.6,,,,,,,
,66,,,,0.4400,,,,,,,251.6,,,0.0200,,,20.0,,,,,,,0.5,,,,,,,
,70,,,,0.4600,,,,,,,252.1,,,0.0200,,,20.0,,,,,,,0.5,,,,,,,
,72,,,,0.4800,,,,,,,252.6,,,0.0200,,,20.0,,,,,,,0.5,,,,,,,
,76,,,,0.5000,,,,,,,253.2,,,0.0200,,,20.0,,,,,,,0.6,,,,,,,
,78,,,,0.5200,,,,,,,253.7,,,0.0200,,,20.0,,,,,,,0.5,,,,,,,
,82,,,,0.5400,,,,,,,254.2,,,0.0200,,,20.0,,,,,,,0.5,,,,,,,
,84,,,,0.5600,,,,,,,254.6,,,0.0200,,,20.0,,,,,,,0.4,,,,,,,
,88,,,,0.5800,,,,,,,255.1,,,0.0200,,,20.0,,,,,,,0.5,,,,,,,
,91,,,,0.6000,,,,,,,255.6,,,0.0200,,,20.0,,,,,,,0.5,,,,,,,
,94,,,,0.6200,,,,,,,256.0,,,0.0200,,,20.0,,,,,,,0.4,,,,,,,
,97,,,,0.6400,,,,,,,256.4,,,0.0200,,,20.0,,,,,,,0.4,,,,,,,
,100,,,,0.6600,,,,,,,256.8,,,0.0200,,,20.0,,,,,,,0.4,,,,,,,
,103,,,,0.6800,,,,,,,257.3,,,0.0200,,,20.0,,,,,,,0.5,,,,,,,
,106,,,,0.7000,,,,,,,257.7,,,0.0200,,,20.0,,,,,,,0.4,,,,,,,
,109,,,,0.7200,,,,,,,258.2,,,0.0200,,,20.0,,,,,,,0.5,,,,,,,
,112,,,,0.7400,,,,,,,258.6,,,0.0200,,,20.0,,,,,,,0.4,,,,,,,
,115,,,,0.7600,,,,,,,258.9,,,0.0200,,,20.0,,,,,,,0.3,,,,,,,
,118,,,,0.7800,,,,,,,259.3,,,0.0200,,,20.0,,,,,,,0.4,,,,,,,
,121,,,,0.8000,,,,,,,259.7,,,0.0200,,,20.0,,,,,,,0.4,,,,,,,
,124,,,,0.8200,,,,,,,260.1,,,0.0200,,,20.0,,,,,,,0.4,,,,,,,
,127,,,,0.8400,,,,,,,260.5,,,0.0200,,,20.0,,,,,,,0.4,,,,,,,
,130,,,,0.8600,,,,,,,260.9,,,0.0200,,,20.0,,,,,,,0.4,,,,,,,
,133,,,,0.8800,,,,,,,261.2,,,0.0200,,,20.0,,,,,,,0.3,,,,,,,
,136,,,,0.9000,,,,,,,261.6,,,0.0200,,,20.0,,,,,,,0.4,,,,,,,
,139,,,,0.9200,,,,,,,262.0,,,0.0200,,,20.0,,,,,,,0.4,,,,,,,
,142,,,,0.9400,,,,,,,262.3,,,0.0200,,,20.0,,,,,,,0.3,,,,,,,
,145,,,,0.9600,,,,,,,262.7,,,0.0200,,,20.0,,,,,,,0.4,,,,,,,
,148,,,,0.9800,,,,,,,262.9,,,0.0200,,,20.0,,,,,,,0.2,,,,,,,
,151,,,,1.0000,,,,,,,263.3,,,0.0200,,,20.0,,,,,,,0.4,,,,,,,
,154,,,,1.0200,,,,,,,263.6,,,0.0200,,,20.0,,,,,,,0.3,,,,,,,
,157,,,,1.0400,,,,,,,263.9,,,0.0200,,,20.0,,,,,,,0.3,,,,,,,
,160,,,,1.0600,,,,,,,264.2,,,0.0200,,,20.0,,,,,,,0.3,,,,,,,
,163,,,,1.0800,,,,,,,264.6,,,0.0200,,,20.0,,,,,,,0.4,,,,,,,
,166,,,,1.1000,,,,,,,264.9,,,0.0200,,,20.0,,,,,,,0.3,,,,,,,
,169,,,,1.1200,,,,,,,265.2,,,0.0200,,,20.0,,,,,,,0.3,,,,,,,
,172,,,,1.1400,,,,,,,265.5,,,0.0200,,,20.0,,,,,,,0.3,,,,,,,
,175,,,,1.1600,,,,,,,265.8,,,0.0200,,,20.0,,,,,,,0.3,,,,,,,
,178,,,,1.1800,,,,,,,266.1,,,0.0200,,,20.0,,,,,,,0.3,,,,,,,
,181,,,,1.2000,,,,,,,266.4,,,0.0200,,,20.1,,,,,,,0.3,,,,,,,
,184,,,,1.2200,,,,,,,266.7,,,0.0200,,,20.1,,,,,,,0.3,,,,,,,
,187,,,,1.2400,,,,,,,267.0,,,0.0200,,,20.1,,,,,,,0.3,,,,,,,
,190,,,,1.2600,,,,,,,267.3,,,0.0200,,,20.1,,,,,,,0.3,,,,,,,
,193,,,,1.2800,,,,,,,267.5,,,0.0200,,,20.1,,,,,,,0.2,,,,,,,
,196,,,,1.3000,,,,,,,267.8,,,0.0200,,,20.1,,,,,,,0.3,,,,,,,
,199,,,,1.3200,,,,,,,268.0,,,0.0200,,,20.1,,,,,,,0.2,,,,,,,
,202,,,,1.3400,,,,,,,268.3,,,0.0200,,,20.1,,,,,,,0.3,,,,,,,
,205,,,,1.3600,,,,,,,268.6,,,0.0200,,,20.1,,,,,,,0.3,,,,,,,
,208,,,,1.3800,,,,,,,268.9,,,0.0200,,,20.1,,,,,,,0.3,,,,,,,
,211,,,,1.4000,,,,,,,269.1,,,0.0200,,,20.1,,,,,,,0.2,,,,,,,
,214,,,,1.4200,,,,,,,269.4,,,0.0200,,,20.1,,,,,,,0.3,,,,,,,
,217,,,,1.4400,,,,,,,269.6,,,0.0200,,,20.1,,,,,,,0.2,,,,,,,
,220,,,,1.4600,,,,,,,269.9,,,0.0200,,,20.1,,,,,,,0.3,,,,,,,
,223,,,,1.4800,,,,,,,270.1,,,0.0200,,,20.1,,,,,,,0.2,,,,,,,
,226,,,,1.5000,,,,,,,270.4,,,0.0200,,,20.1,,,,,,,0.3,,,,,,,
,229,,,,1.5200,,,,,,,270.6,,,0.0200,,,20.1,,,,,,,0.2,,,,,,,
,232,,,,1.5400,,,,,,,270.9,,,0.0200,,,20.1,,,,,,,0.3,,,,,,,
,236,,,,1.5600,,,,,,,271.1,,,0.0200,,,20.1,,,,,,,0.2,,,,,,,
,238,,,,1.5800,,,,,,,271.3,,,0.0200,,,20.1,,,,,,,0.2,,,,,,,
,242,,,,1.6000,,,,,,,271.5,,,0.0200,,,20.1,,,,,,,0.2,,,,,,,
,245,,,,1.6200,,,,,,,271.8,,,0.0200,,,20.1,,,,,,,0.3,,,,,,,
,248,,,,1.6400,,,,,,,272.0,,,0.0200,,,20.1,,,,,,,0.2,,,,,,,
,251,,,,1.6600,,,,,,,272.2,,,0.0200,,,20.1,,,,,,,0.2,,,,,,,
,254,,,,1.6800,,,,,,,272.5,,,0.0200,,,20.1,,,,,,,0.3,,,,,,,
,257,,,,1.7000,,,,,,,272.7,,,0.0200,,,20.1,,,,,,,0.2,,,,,,,
,260,,,,1.7200,,,,,,,273.0,,,0.0200,,,20.1,,,,,,,0.3,,,,,,,
,263,,,,1.7400,,,,,,,273.2,,,0.0200,,,20.1,,,,,,,0.2,,,,,,,
,266,,,,1.7600,,,,,,,273.4,,,0.0200,,,20.1,,,,,,,0.2,,,,,,,
,269,,,,1.7800,,,,,,,273.6,,,0.0200,,,20.1,,,,,,,0.2,,,,,,,
,272,,,,1.8000,,,,,,,273.8,,,0.0200,,,20.1,,,,,,,0.2,,,,,,,
,275,,,,1.8200,,,,,,,274.0,,,0.0200,,,20.1,,,,,,,0.2,,,,,,,
,278,,,,1.8400,,,,,,,274.2,,,0.0200,,,20.1,,,,,,,0.2,,,,,,,
,281,,,,1.8600,,,,,,,274.4,,,0.0200,,,20.1,,,,,,,0.2,,,,,,,
,284,,,,1.8800,,,,,,,274.7,,,0.0200,,,20.1,,,,,,,0.3,,,,,,,
,287,,,,1.9000,,,,,,,274.8,,,0.0200,,,20.1,,,,,,,0.1,,,,,,,
,290,,,,1.9200,,,,,,,275.0,,,0.0200,,,20.1,,,,,,,0.2,,,,,,,
,293,,,,1.9400,,,,,,,275.2,,,0.0200,,,20.1,,,,,,,0.2,,,,,,,
,296,,,,1.9600,,,,,,,275.4,,,0.0200,,,20.1,,,,,,,0.2,,,,,,,
,299,,,,1.9800,,,,,,,275.6,,,0.0200,,,20.1,,,,,,,0.2,,,,,,,
,302,,,,2.0000,,,,,,,275.7,,,0.0200,,,20.1,,,,,,,0.1,,,,,,,
,305,,,,2.0200,,,,,,,276.0,,,0.0200,,,20.1,,,,,,,0.3,,,,,,,
,308,,,,2.0400,,,,,,,276.1,,,0.0200,,,20.1,,,,,,,0.1,,,,,,,
,311,,,,2.0600,,,,,,,276.4,,,0.0200,,,20.1,,,,,,,0.3,,,,,,,
,314,,,,2.0800,,,,,,,276.6,,,0.0200,,,20.1,,,,,,,0.2,,,,,,,
